monthyear,bin_above_pra_cutoff,se,diff_in_diff_estimator,month,year,plot_diff_in_diff_estimator,high_se,low_se,industry_excluded
4,0,5.3214102,-10.101065,4,1933,-10.101065,.54175568,-20.743885,1008
4,1,17.648142,-31.324024,4,1933,-31.324024,3.9722595,-66.620308,1008
5,0,6.6452174,.13990977,5,1933,.13990977,13.430345,-13.150525,1008
5,1,7.8204637,-12.251633,5,1933,-12.251633,3.3892946,-27.892559,1008
6,0,5.8529916,-6.6722016,6,1933,-6.6722016,5.0337815,-18.378185,1008
6,1,6.5855136,3.6805062,6,1933,3.6805062,16.851534,-9.4905205,1008
7,0,0,0,7,1933,0,0,0,1008
7,1,0,0,7,1933,0,0,0,1008
8,0,8.7433786,33.545589,8,1933,33.545589,51.032349,16.058832,1008
8,1,10.627798,-10.669114,8,1933,-10.669114,10.586482,-31.924709,1008
9,0,11.886154,33.37138,9,1933,33.37138,57.143688,9.5990715,1008
9,1,8.8740997,-15.640788,9,1933,-15.640788,2.1074114,-33.388988,1008
10,0,12.305438,43.052219,10,1933,43.052219,67.663094,18.441343,1008
10,1,5.5917487,-31.10199,10,1933,-31.10199,-19.918491,-42.285488,1008
