monthyear,bin_above_pra_cutoff,se,diff_in_diff_estimator,month,year,plot_diff_in_diff_estimator,high_se,low_se,industry_excluded
4,0,5.3420815,-7.7225814,4,1933,-7.7225814,2.9615817,-18.406744,1408
4,1,19.182022,-33.7425,4,1933,-33.7425,4.6215439,-72.106544,1408
5,0,6.8401127,3.2974458,5,1933,3.2974458,16.977671,-10.38278,1408
5,1,7.7618914,-15.724,5,1933,-15.724,-.20021725,-31.247784,1408
6,0,6.43574,-4.3022804,6,1933,-4.3022804,8.5691996,-17.173759,1408
6,1,6.9975462,.24934435,6,1933,.24934435,14.244436,-13.745749,1408
7,0,0,0,7,1933,0,0,0,1408
7,1,0,0,7,1933,0,0,0,1408
8,0,9.6392784,30.335426,8,1933,30.335426,49.613983,11.05687,1408
8,1,11.033978,-6.4753199,8,1933,-6.4753199,15.592635,-28.543274,1408
9,0,13.53041,30.568584,9,1933,30.568584,57.629402,3.5077648,1408
9,1,9.5366116,-11.666662,9,1933,-11.666662,7.4065609,-30.739885,1408
10,0,14.631856,42.746487,10,1933,42.746487,72.010201,13.482775,1408
10,1,6.4358592,-28.674856,10,1933,-28.674856,-15.803138,-41.546574,1408
