monthyear,bin_above_pra_cutoff,se,diff_in_diff_estimator,month,year,plot_diff_in_diff_estimator,high_se,low_se,industry_excluded
4,0,5.3284593,-10.100024,4,1933,-10.100024,.5568943,-20.756943,705
4,1,17.660013,-31.319447,4,1933,-31.319447,4.0005798,-66.639473,705
5,0,6.6560607,.1547768,5,1933,.1547768,13.466898,-13.157345,705
5,1,7.8511372,-12.279082,5,1933,-12.279082,3.423192,-27.981358,705
6,0,5.8549485,-6.6799073,6,1933,-6.6799073,5.0299897,-18.389805,705
6,1,6.5257292,3.8451734,6,1933,3.8451734,16.896631,-9.2062855,705
7,0,0,0,7,1933,0,0,0,705
7,1,0,0,7,1933,0,0,0,705
8,0,8.7621765,33.551994,8,1933,33.551994,51.076347,16.027641,705
8,1,10.606149,-10.694068,8,1933,-10.694068,10.518229,-31.906364,705
9,0,11.892158,33.368122,9,1933,33.368122,57.152435,9.583807,705
9,1,8.8706388,-15.649753,9,1933,-15.649753,2.0915251,-33.391029,705
10,0,12.307103,43.043507,10,1933,43.043507,67.657715,18.4293,705
10,1,5.5955892,-31.111374,10,1933,-31.111374,-19.920197,-42.302551,705
