monthyear,bin_above_pra_cutoff,se,diff_in_diff_estimator,month,year,plot_diff_in_diff_estimator,high_se,low_se,industry_excluded
4,0,5.3931613,-12.374308,4,1933,-12.374308,-1.587985,-23.160629,1112
4,1,18.211987,-27.046036,4,1933,-27.046036,9.3779373,-63.470009,1112
5,0,7.5952039,-.72836334,5,1933,-.72836334,14.462045,-15.918771,1112
5,1,5.7210493,-6.4498444,5,1933,-6.4498444,4.9922543,-17.891943,1112
6,0,6.5014949,-7.7531343,6,1933,-7.7531343,5.2498555,-20.756124,1112
6,1,5.3081889,8.5465164,6,1933,8.5465164,19.162895,-2.0698614,1112
7,0,0,0,7,1933,0,0,0,1112
7,1,0,0,7,1933,0,0,0,1112
8,0,10.811151,32.879368,8,1933,32.879368,54.501671,11.257067,1112
8,1,11.742958,-7.4197969,8,1933,-7.4197969,16.06612,-30.905712,1112
9,0,12.861589,28.755121,9,1933,28.755121,54.478302,3.0319424,1112
9,1,9.1272831,-10.802863,9,1933,-10.802863,7.4517031,-29.05743,1112
10,0,14.107947,40.540142,10,1933,40.540142,68.756035,12.324247,1112
10,1,6.8594222,-28.570835,10,1933,-28.570835,-14.851991,-42.28968,1112
