monthyear,bin_above_pra_cutoff,se,diff_in_diff_estimator,month,year,plot_diff_in_diff_estimator,high_se,low_se,industry_excluded
4,0,6.352118,-8.2036343,4,1933,-8.2036343,4.5006018,-20.907871,216
4,1,20.172096,-37.88871,4,1933,-37.88871,2.4554825,-78.232903,216
5,0,6.6469064,3.1855512,5,1933,3.1855512,16.479364,-10.108261,216
5,1,9.3523874,-12.757014,5,1933,-12.757014,5.9477606,-31.461788,216
6,0,4.9883704,-2.9855638,6,1933,-2.9855638,6.9911771,-12.962305,216
6,1,7.4400835,1.3412386,6,1933,1.3412386,16.221405,-13.538928,216
7,0,0,0,7,1933,0,0,0,216
7,1,0,0,7,1933,0,0,0,216
8,0,10.729892,31.749315,8,1933,31.749315,53.209099,10.289532,216
8,1,11.913088,-6.6974144,8,1933,-6.6974144,17.128761,-30.52359,216
9,0,14.844576,34.878662,9,1933,34.878662,64.56781,5.1895103,216
9,1,10.827497,-12.582369,9,1933,-12.582369,9.0726242,-34.237362,216
10,0,14.626737,43.354118,10,1933,43.354118,72.60759,14.100645,216
10,1,7.0351233,-31.896587,10,1933,-31.896587,-17.82634,-45.966835,216
